console	name	desc	is_brand_missing	compatible_game_families	model_no	storage	alt names	description	notes	relevance
xb360	Xbox 360 Elite	elite	y	xb360, xbox		120GB-250GB	Xbox 360 Super Elite			9
xb360	Xbox 360 S	s	y	xb360, xbox		4GB-320GB	Xbox 360 Slim		slim form factor Xbox 360	10
xbone	Xbox One	original	y	xb360, xbone		500GB-1TB			the original Xbox One	10
xbone	Xbox One Elite	elite	y	xb360, xbone		1TB			Xbox One with 1TB solid state hybrid drive	8
xbone	Xbox One S	s	y	xb360, xbone		500GB-2TB			slim form factor Xbox One	10
xbone	Xbox One S All-Digital	sad	y	xb360, xbone		500GB-2TB			slim form factor Xbox One w/o disc drive	8
xbone	Xbox One X	x	y	xb360, xbone		1TB			more powerful Xbox One with 4K game compatibility	9
xbox	Xbox	original	y	xbox					the original Xbox	10
32x	32X	original	y	32x			Super 32X, Genesis 32X, Mega Drive 32X, Mega 32X		add-on for Genesis compatible with separate game library	10
gba	Game Boy Player	gbplayer	y	gba, gbc, gb					attachment for GameCube allowing GBA cart play	5
gba	Game Boy Player	gbplayerq	y	gba, gbc, gb					attachment for Panasonic Q allowing GBA cart play	3
nes	Family Computer Disk System	fcdisk	y	fcdisk			Famicom Disk System, Disk System, FCDS, FCD, FDS			4
nes	Twin Famicom	fctwin	y	fcdisk, fc						2
n64	64DD	64dd	y	64dd						4
neogeo_aes	Neo Geo CD	cdfront	y	neogeocd					front-loading CD-compatible Neo Geo	8
neogeo_aes	Neo Geo	original	y	neogeo					the original cartridge-compatible Neo Geo	10
neogeo_aes	Neo Geo CD	cdtop	y	neogeocd					top-loading CD-compatible Neo Geo	9
neogeo_aes	Neo Geo CDZ	cdz	y	neogeocd					faster top-loading CD-compatible Neo Geo	7
